Time,Price
2017/12/28,711.42 
2017/12/27,736.45 
2017/12/26,749.80 
2017/12/25,709.81 
2017/12/24,659.89 
2017/12/23,672.59 
2017/12/22,628.19 
2017/12/21,786.97 
2017/12/20,794.99 
2017/12/19,799.98 
2017/12/18,783.99 
2017/12/17,708.78 
2017/12/16,683.25 
2017/12/15,678.29 
2017/12/14,686.51 
2017/12/13,690.69 
2017/12/12,634.87 
2017/12/11,515.25 
2017/12/10,429.24 
2017/12/9,460.92 
2017/12/8,442.19 
2017/12/7,415.02 
2017/12/6,413.71 
2017/12/5,451.87 
2017/12/4,465.00 
2017/12/3,459.49 
2017/12/2,455.51 
2017/12/1,460.67 
2017/11/30,432.21 
2017/11/29,420.34 
2017/11/28,465.56 
2017/11/27,473.44 
2017/11/26,464.00 
2017/11/25,464.00 
2017/11/24,470.51 
2017/11/23,405.19 
2017/11/22,380.48 
2017/11/21,360.00 
2017/11/20,367.94 
2017/11/19,354.70 
2017/11/18,346.68 
2017/11/17,331.00 
2017/11/16,330.76 
2017/11/15,330.59 
2017/11/14,334.28 
2017/11/13,313.22 
2017/11/12,303.90 
2017/11/11,313.07 
2017/11/10,296.18 
2017/11/9,319.52 
2017/11/8,307.50 
2017/11/7,291.42 
2017/11/6,296.90 
2017/11/5,295.63 
2017/11/4,299.48 
2017/11/3,303.47 
2017/11/2,284.89 
2017/11/1,288.60 
2017/10/31,303.69 
2017/10/30,307.00 
2017/10/29,304.39 
2017/10/28,293.49 
2017/10/27,295.99 
2017/10/26,295.10 
2017/10/25,295.46 
2017/10/24,296.30 
2017/10/23,284.85 
2017/10/22,293.55 
2017/10/21,299.23 
2017/10/20,302.61 
2017/10/19,306.97 
2017/10/18,313.45 
2017/10/17,315.65 
2017/10/16,334.46 
2017/10/15,337.23 
2017/10/14,339.24 
2017/10/13,337.46 
2017/10/12,303.06 
2017/10/11,303.20 
2017/10/10,299.32 
2017/10/9,297.40 
2017/10/8,309.82 
2017/10/7,311.46 
2017/10/6,308.43 
2017/10/5,295.12 
2017/10/4,291.40 
2017/10/3,291.69 
2017/10/2,296.82 
2017/10/1,304.26 
2017/9/30,303.44 
2017/9/29,292.66 
2017/9/28,302.63 
2017/9/27,309.75 
2017/9/26,289.28 
2017/9/25,295.20 
2017/9/24,282.00 
2017/9/23,285.90 
2017/9/22,262.19 
2017/9/21,256.67 
2017/9/20,283.50 
2017/9/19,282.63 
2017/9/18,296.81 
2017/9/17,257.00 
2017/9/16,253.00 
2017/9/15,258.68 
2017/9/14,222.50 
2017/9/13,275.48 
2017/9/12,293.90 
2017/9/11,297.19 
2017/9/10,297.90 
2017/9/9,303.08 
2017/9/8,304.00 
2017/9/7,334.10 
2017/9/6,337.36 
2017/9/5,316.18 
2017/9/4,295.81 
2017/9/3,350.63 
2017/9/2,345.00 
2017/9/1,390.35 
2017/8/31,387.30 
2017/8/30,382.78 
2017/8/29,372.00 
2017/8/28,347.09 
2017/8/27,348.01 
2017/8/26,332.72 
2017/8/25,328.70 
2017/8/24,325.62 
2017/8/23,316.50 
2017/8/22,312.54 
2017/8/21,322.24 
2017/8/20,298.37 
2017/8/19,292.78 
2017/8/18,292.00 
2017/8/17,299.00 
2017/8/16,301.34 
2017/8/15,286.00 
2017/8/14,298.22 
2017/8/13,296.64 
2017/8/12,307.22 
2017/8/11,308.81 
2017/8/10,295.97 
2017/8/9,293.99 
2017/8/8,295.83 
2017/8/7,269.51 
2017/8/6,264.29 
2017/8/5,253.87 
2017/8/4,220.73 
2017/8/3,224.79 
2017/8/2,218.00 
2017/8/1,225.97 
2017/7/31,200.81 
2017/7/30,195.31 
2017/7/29,206.76 
2017/7/28,191.20 
2017/7/27,202.54 
2017/7/26,203.33 
2017/7/25,202.70 
2017/7/24,226.59 
2017/7/23,228.15 
2017/7/22,232.01 
2017/7/21,216.11 
2017/7/20,227.29 
2017/7/19,194.63 
2017/7/18,226.56 
2017/7/17,190.16 
2017/7/16,157.40 
2017/7/15,170.15 
2017/7/14,196.49 
2017/7/13,205.00 
2017/7/12,223.92 
2017/7/11,188.63 
2017/7/10,202.00 
2017/7/9,234.97 
2017/7/8,245.23 
2017/7/7,238.38 
2017/7/6,265.35 
2017/7/5,264.77 
2017/7/4,266.68 
2017/7/3,273.99 
2017/7/2,277.64 
2017/7/1,255.00 
